Asset,View,Expected Return Change,Confidence Level
China Equity,30% upside by end-2027 (~12% per year),+4%,0.75
China Equity,GDP growth 4.8% in 2025,+0%,0.8
China Equity,Structural growth shift to internal demand & sectors rather than exports,+1%,0.65
China Equity,Share buybacks & higher dividends will drive valuation expansion,+2%,0.7
China Equity,Stimulus fatigue & high debt/real-estate risk may cap upside,-2%,0.6
China Equity,Valuation still discounted vs global peers â€“ potential catch-up,+3%,0.7
China Equity,Trade war stage 2 & external risk increase,-1.5%,0.55
China Equity,GDP forecast raised to ~4.5% for 2025,+1%,0.7
China Equity,US tariffs & trade barriers remain threat to China export-led firms,-1.5%,0.55
China Bond,China bond yields expected to rise as inflation pressures build,+1%,0.7
China Equity,Government consumption measures to stabilize the economy,+2%,0.8
Gold,Gold prices likely to rise amid global uncertainty,+3%,0.75
Real Estate,Real estate market may stabilize with policy adjustments,+2%,0.65
Real Estate,Real estate recovery expected post-policy adjustments,+2%,0.7
